"Date de création";"Numéro de lettrage";"Numéro de police";"Prime TTC";"Date effet";"Echéance"
"2018-12-10 17:39:57";"";"MAX253122";"112500";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"DIVERS";"PLX304174";"10000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304287";"31250";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284440";"37500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284440";"37500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304252";"4000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304252";"4000";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304252";"4000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304252";"4000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304504";"62500";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304504";"62500";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304504";"62500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304504";"62500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304287";"31250";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284347";"137500";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284347";"137500";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304226";"10000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304226";"10000";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304457";"31250";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304457";"31250";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"AUX253065";"211197";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284360";"162500";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284360";"162500";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284360";"162500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304287";"31250";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284360";"162500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304464";"10000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304464";"10000";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304464";"10000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304464";"10000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304465";"31250";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304465";"31250";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304465";"31250";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304465";"31250";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MRX304466";"40125";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304287";"31250";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MRX304466";"40125";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284379";"112500";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284379";"112500";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284379";"112500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304450";"10000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304450";"10000";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304450";"10000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284358";"112500";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304218";"10000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304219";"31250";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284383";"112500";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284437";"137500";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284437";"137500";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284437";"137500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284437";"137500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304456";"10000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304456";"10000";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304456";"10000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304456";"10000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"AUX284486";"86730";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"AUX284486";"86730";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284383";"112500";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284393";"750000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304460";"40000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304382";"40000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304383";"125000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX304471";"475000";"2017-08-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304472";"20000";"2017-08-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304484";"20000";"2017-08-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX304160";"112500";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX304160";"112500";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304423";"10000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284383";"112500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304423";"10000";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304422";"31250";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304422";"31250";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX304483";"275000";"2017-08-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304481";"20000";"2017-08-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304448";"20000";"2017-07-07";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304447";"62500";"2017-07-07";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX304339";"150000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304340";"16000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"AUX253074";"131398";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284383";"112500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284496";"112500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304174";"10000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304326";"31250";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304326";"31250";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284451";"87500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284451";"87500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304176";"10000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"AUX253078";"154764";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284434";"162500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304335";"10000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304281";"10000";"2017-01-01";"2018-12-10"
